iShares Core S&P 500 ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,148,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HD","HOME DEPOT","Consumer Discretionary","Equity","4,492,462,278.52","0.51","4,492,462,278.52","13,296,029.00","337.88","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","4,169,605,778.88","0.47","4,169,605,778.88","3,937,751.00","1,058.88","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","4,034,560,285.44","0.46","4,034,560,285.44","20,805,282.00","193.92","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","3,780,212,602.04","0.43","3,780,212,602.04","17,977,043.00","210.28","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","3,679,689,080.10","0.42","3,679,689,080.10","10,825,799.00","339.90","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,468,775,433.77","0.39","3,468,775,433.77","16,002,101.00","216.77","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,463,728,733.25","0.39","3,463,728,733.25","40,850,675.00","84.79","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","3,324,202,751.52","0.38","3,324,202,751.52","3,587,024.00","926.73","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","3,279,003,490.84","0.37","3,279,003,490.84","22,651,309.00","144.76","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","3,196,968,332.50","0.36","3,196,968,332.50","17,437,375.00","183.34","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","3,185,484,792.32","0.36","3,185,484,792.32","7,203,068.00","442.24","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,159,308,442.50","0.36","3,159,308,442.50","12,148,850.00","260.05","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","3,116,108,303.65","0.35","3,116,108,303.65","4,960,771.00","628.15","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","3,033,774,438.50","0.34","3,033,774,438.50","22,767,538.00","133.25","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","3,007,019,349.60","0.34","3,007,019,349.60","6,172,043.00","487.20","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","2,938,227,832.98","0.33","2,938,227,832.98","12,546,342.00","234.19","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","2,927,195,020.62","0.33","2,927,195,020.62","1,976,806.00","1,480.77","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","2,809,518,892.74","0.32","2,809,518,892.74","11,687,823.00","240.38","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,800,913,292.00","0.32","2,800,913,292.00","55,739,568.00","50.25","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,701,024,701.90","0.31","2,701,024,701.90","23,258,630.00","116.13","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","2,631,796,667.80","0.30","2,631,796,667.80","13,783,370.00","190.94","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,607,542,955.92","0.30","2,607,542,955.92","16,422,364.00","158.78","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","2,595,677,594.83","0.29","2,595,677,594.83","18,244,729.00","142.27","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,578,829,401.25","0.29","2,578,829,401.25","23,180,489.00","111.25","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,542,812,144.60","0.29","2,542,812,144.60","9,484,566.00","268.10","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","2,519,573,732.00","0.29","2,519,573,732.00","13,591,400.00","185.38","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","2,465,706,541.50","0.28","2,465,706,541.50","16,573,950.00","148.77","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,459,278,030.08","0.28","2,459,278,030.08","2,993,024.00","821.67","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","2,453,631,396.98","0.28","2,453,631,396.98","7,925,422.00","309.59","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","2,450,030,599.55","0.28","2,450,030,599.55","21,822,665.00","112.27","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","2,435,212,841.74","0.28","2,435,212,841.74","6,517,189.00","373.66","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,390,261,586.27","0.27","2,390,261,586.27","92,753,651.00","25.77","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,386,693,952.35","0.27","2,386,693,952.35","7,104,313.00","335.95","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","2,344,447,299.60","0.27","2,344,447,299.60","27,837,180.00","84.22","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","2,272,370,195.55","0.26","2,272,370,195.55","9,423,057.00","241.15","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","2,267,645,317.44","0.26","2,267,645,317.44","1,927,221.00","1,176.64","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","2,259,093,971.52","0.26","2,259,093,971.52","14,070,092.00","160.56","United States","NASDAQ","USD","1.00","USD","-"
