iShares Expanded Tech-Software Sector ETF
Fund Holdings as of,"Aug 25, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"136,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DOCU","DOCUSIGN","Information Technology","Equity","55,270,174.62","0.40","55,270,174.62","912,953.00","60.54","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","41,968,251.78","0.30","41,968,251.78","121,457.00","345.54","United States","NASDAQ","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","40,382,676.00","0.29","40,382,676.00","472,312.00","85.50","United States","NASDAQ","USD","1.00","USD","-"
"ESTC","ELASTIC","Information Technology","Equity","34,413,853.20","0.25","34,413,853.20","428,033.00","80.40","United States","NYSE","USD","1.00","USD","-"
"AUR","AURORA INNOVATION CLASS A","Information Technology","Equity","34,193,966.28","0.25","34,193,966.28","5,926,164.00","5.77","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","33,434,437.54","0.24","33,434,437.54","2,006,869.00","16.66","United States","NYSE","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM","Information Technology","Equity","33,345,816.30","0.24","33,345,816.30","1,723,298.00","19.35","United States","NASDAQ","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","33,090,817.43","0.24","33,090,817.43","545,963.00","60.61","United States","NYSE","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS","Information Technology","Equity","32,285,049.00","0.23","32,285,049.00","1,515,730.00","21.30","United States","NASDAQ","USD","1.00","USD","-"
"S","SENTINELONE INC CLASS A","Information Technology","Equity","31,874,595.24","0.23","31,874,595.24","1,569,404.00","20.31","United States","NYSE","USD","1.00","USD","-"
"DSGX","DESCARTES SYSTEMS GROUP","Information Technology","Equity","31,333,041.36","0.23","31,333,041.36","404,193.00","77.52","Canada","NASDAQ","USD","1.00","USD","-"
"WULF","TERAWULF","Information Technology","Equity","30,781,723.20","0.22","30,781,723.20","1,886,135.00","16.32","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","30,054,916.48","0.22","30,054,916.48","5,076,844.00","5.92","United States","NYSE","USD","1.00","USD","-"
"QLYS","QUALYS","Information Technology","Equity","29,123,348.20","0.21","29,123,348.20","165,530.00","175.94","United States","NASDAQ","USD","1.00","USD","-"
"GTLB","GITLAB CLASS A","Information Technology","Equity","28,359,211.80","0.21","28,359,211.80","680,730.00","41.66","United States","NASDAQ","USD","1.00","USD","-"
"OTEX","OPEN TEXT","Information Technology","Equity","27,729,597.00","0.20","27,729,597.00","1,138,325.00","24.36","Canada","NASDAQ","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","26,931,411.00","0.20","26,931,411.00","1,493,700.00","18.03","United States","NASDAQ","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CLASS A","Information Technology","Equity","26,899,125.84","0.20","26,899,125.84","964,818.00","27.88","United States","NYSE","USD","1.00","USD","-"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","25,848,376.20","0.19","25,848,376.20","700,498.00","36.90","United States","NASDAQ","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS","Information Technology","Equity","25,417,758.72","0.18","25,417,758.72","193,792.00","131.16","United States","NASDAQ","USD","1.00","USD","-"
"TTAN","SERVICETITAN CLASS A","Information Technology","Equity","25,364,388.30","0.18","25,364,388.30","276,090.00","91.87","United States","NASDAQ","USD","1.00","USD","-"
"APPF","APPFOLIO CLASS A","Information Technology","Equity","25,182,345.00","0.18","25,182,345.00","112,900.00","223.05","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE","Information Technology","Equity","25,031,427.60","0.18","25,031,427.60","477,699.00","52.40","United States","NASDAQ","USD","1.00","USD","-"
"CRCL","CIRCLE INTERNET GROUP CLASS A","Information Technology","Equity","24,849,632.92","0.18","24,849,632.92","270,046.00","92.02","United States","NYSE","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","24,480,181.24","0.18","24,480,181.24","703,858.00","34.78","United States","NASDAQ","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","23,199,148.28","0.17","23,199,148.28","1,422,388.00","16.31","United States","NASDAQ","USD","1.00","USD","-"
